match_id,modelo,modelo_ganador_global,date,stage,group,home_team,away_team,lambda_home,lambda_away,factor_contexto_home,factor_contexto_away,prob_home_win,prob_draw,prob_away_win,prob_home_win_percent,prob_draw_percent,prob_away_win_percent,predicted_class
31,Regresion Lineal,False,2026-06-19,Group Stage,C,Brazil,Haiti,3.1263034494943045,0.3808203678513196,1.1355750000000002,1.1550000000000002,0.8955222945944151,0.08394564869015782,0.020532056715427148,89.5522294594415,8.394564869015781,2.053205671542715,H
32,Regresion Lineal,False,2026-06-20,Group Stage,D,Turkey,Paraguay,1.6552410432237707,1.4326700052009347,1.1550000000000002,1.1550000000000002,0.4208087551974125,0.2548008488282855,0.32439039597430186,42.08087551974125,25.480084882828553,32.43903959743019,H
33,Regresion Lineal,False,2026-06-20,Group Stage,F,Netherlands,Sweden,2.919940070464319,1.229467370853301,1.1355750000000002,1.1355750000000002,0.7139147967208492,0.1583354906567127,0.12774971262243812,71.39147967208493,15.83354906567127,12.774971262243811,H
34,Regresion Lineal,False,2026-06-20,Group Stage,E,Germany,Ivory Coast,2.7244216102415804,1.1555573554502339,1.0815000000000001,1.1355750000000002,0.6983381724651693,0.16949011667625247,0.1321717108585782,69.83381724651693,16.949011667625246,13.21717108585782,H
35,Regresion Lineal,False,2026-06-20,Group Stage,E,Ecuador,Curacao,3.281531630096938,0.4056331442579194,1.1550000000000002,1.1550000000000002,0.9032704048183331,0.0771033973234767,0.019626197858190357,90.32704048183331,7.710339732347669,1.9626197858190357,H
36,Regresion Lineal,False,2026-06-21,Group Stage,F,Tunisia,Japan,0.9004412068279379,2.464711413516782,1.1550000000000002,1.1355750000000002,0.11161843280745229,0.17834239298067298,0.7100391742118746,11.161843280745229,17.8342392980673,71.00391742118745,A
37,Regresion Lineal,False,2026-06-21,Group Stage,H,Spain,Saudi Arabia,3.2910191088337806,0.4705557271261272,1.1355750000000002,1.1355750000000002,0.8938222623372923,0.08214930472214932,0.02402843294055841,89.38222623372923,8.214930472214931,2.4028432940558413,H
38,Regresion Lineal,False,2026-06-21,Group Stage,G,Belgium,Iran,2.215688448003396,1.1723675317344766,1.1355750000000002,1.1355750000000002,0.6027414403842977,0.2120341683907615,0.18522439122494072,60.27414403842977,21.20341683907615,18.52243912249407,H
39,Regresion Lineal,False,2026-06-21,Group Stage,H,Uruguay,Cape Verde,2.0957424506263758,0.6434516160367851,1.1355750000000002,1.1355750000000002,0.7051526274891176,0.19994807631766448,0.09489929619321791,70.51526274891175,19.99480763176645,9.48992961932179,H
40,Regresion Lineal,False,2026-06-21,Group Stage,G,New Zealand,Egypt,0.7678616702454297,2.0801924312387974,1.1355750000000002,1.1355750000000002,0.11947241117977381,0.20963677634604583,0.6708908124741804,11.94724111797738,20.963677634604583,67.08908124741804,A
41,Regresion Lineal,False,2026-06-22,Group Stage,J,Argentina,Austria,2.3747215112630116,0.8681240609789904,1.0815000000000001,1.0815000000000001,0.7018595594169845,0.18492088604398327,0.11321955453903221,70.18595594169845,18.492088604398326,11.321955453903222,H
